concept_id,concept_code,concept_name,vocabulary_id,outcome_set_id,outcome_set_name
4057681,196978004,Crohn's disease of the ileum unspecified,SNOMED,2,Crohns Disease
4115377,201805000,Juvenile arthritis in Crohn disease,SNOMED,2,Crohns Disease
4116143,201728006,Arthropathy in Crohn's disease,SNOMED,2,Crohns Disease
4122617,234999001,Crohn's disease of gingivae,SNOMED,2,Crohns Disease
4131542,413276006,Crohn's stricture of colon,SNOMED,2,Crohns Disease
4148249,266446008,Crohn's disease of the large bowel NOS,SNOMED,2,Crohns Disease
4177488,50440006,Crohn's disease of colon,SNOMED,2,Crohns Disease
4210469,56287005,Crohn's disease of duodenum,SNOMED,2,Crohns Disease
4212991,414153008,Exacerbation of Crohn's disease of large intestine,SNOMED,2,Crohns Disease
4212992,414154002,Exacerbation of Crohn's disease of small intestine,SNOMED,2,Crohns Disease
4239382,91390005,Crohn's disease of jejunum,SNOMED,2,Crohns Disease
4242392,3815005,Crohn's disease of rectum,SNOMED,2,Crohns Disease
4244235,38106008,Crohn's disease of ileum,SNOMED,2,Crohns Disease
4246693,397173003,Crohn's disease of intestine,SNOMED,2,Crohns Disease
4253620,410485009,Iritis with Crohn's disease,SNOMED,2,Crohns Disease
4264850,397172008,Gastrointestinal Crohn's disease,SNOMED,2,Crohns Disease
4266370,61424003,Crohn's disease of pylorus,SNOMED,2,Crohns Disease
4290835,399946006,Crohn's disease of skin,SNOMED,2,Crohns Disease
4292361,402377001,Crohn's disease of scrotum,SNOMED,2,Crohns Disease
4297643,402375009,Crohn's disease of vulva,SNOMED,2,Crohns Disease
4297644,402378006,Metastatic Crohn's disease of skin,SNOMED,2,Crohns Disease
4299294,402376005,Crohn's disease of penis,SNOMED,2,Crohns Disease
4323289,70622003,Crohn's disease of pyloric antrum,SNOMED,2,Crohns Disease
4340114,235607002,Crohn's disease of esophagus,SNOMED,2,Crohns Disease
4340812,235796008,Perianal Crohn's disease,SNOMED,2,Crohns Disease
4342643,235664007,Crohn's disease of stomach,SNOMED,2,Crohns Disease
36686095,1.07E+16,Crohn's disease of small intestine with stenosis,SNOMED,2,Crohns Disease
36715915,721702009,Crohn disease of anal canal,SNOMED,2,Crohns Disease
36716695,722850002,Crohn's disease of gastrointestinal anastomosis,SNOMED,2,Crohns Disease
36716986,8.16E+12,Arthritis co-occurrent and due to Crohn's disease,SNOMED,2,Crohns Disease
37111373,726101009,Extraintestinal Crohn's,SNOMED,2,Crohns Disease
37116446,733157003,Crohn disease of appendix,SNOMED,2,Crohns Disease
37116713,733533008,Perianal fistula due to Crohn's disease,SNOMED,2,Crohns Disease
40317139,155760003,Crohn's disease (& [regional enteritis]),SNOMED,2,Crohns Disease
40317141,155761004,Regional enteritis of small bowel,SNOMED,2,Crohns Disease
40317142,155762006,Regional enteritis of the large bowel,SNOMED,2,Crohns Disease
40317143,155763001,Regional enteritis NOS,SNOMED,2,Crohns Disease
40346388,266517004,Crohn's disease (& [regional enteritis]),SNOMED,2,Crohns Disease
40362687,278522007,Regional enteritis,SNOMED,2,Crohns Disease
40392438,196975001,Enteritis: [regional-Crohn's disease] or [granulomatous],SNOMED,2,Crohns Disease
40392445,196981009,Regional enteritis of the large bowel,SNOMED,2,Crohns Disease
40392446,196982002,(Crohn's colitis) or (Crohn's disease of the large bowel NOS),SNOMED,2,Crohns Disease
42537666,737195007,Crohn disease of upper gastrointestinal tract,SNOMED,2,Crohns Disease
42616693,M07.40,"Arthropathy in Crohn disease [regional enteritis], multiple sites",ICD10,2,Crohns Disease
42616694,M07.41,"Arthropathy in Crohn disease [regional enteritis], shoulder region",ICD10,2,Crohns Disease
42616695,M07.43,"Arthropathy in Crohn disease [regional enteritis], forearm",ICD10,2,Crohns Disease
42616696,M07.44,"Arthropathy in Crohn disease [regional enteritis], hand",ICD10,2,Crohns Disease
42616697,M07.45,"Arthropathy in Crohn disease [regional enteritis], pelvic region and thigh",ICD10,2,Crohns Disease
42616698,M07.46,"Arthropathy in Crohn disease [regional enteritis], lower leg",ICD10,2,Crohns Disease
42616699,M07.47,"Arthropathy in Crohn disease [regional enteritis], ankle and foot",ICD10,2,Crohns Disease
42616700,M07.48,"Arthropathy in Crohn disease [regional enteritis], other",ICD10,2,Crohns Disease
42616701,M07.49,"Arthropathy in Crohn disease [regional enteritis], site unspecified",ICD10,2,Crohns Disease
42616798,M09.10,"Juvenile arthritis in Crohn disease [regional enteritis], multiple sites",ICD10,2,Crohns Disease
42616799,M09.11,"Juvenile arthritis in Crohn disease [regional enteritis], shoulder region",ICD10,2,Crohns Disease
42616800,M09.12,"Juvenile arthritis in Crohn disease [regional enteritis], upper arm",ICD10,2,Crohns Disease
42616801,M09.13,"Juvenile arthritis in Crohn disease [regional enteritis], forearm",ICD10,2,Crohns Disease
42616802,M09.14,"Juvenile arthritis in Crohn disease [regional enteritis], hand",ICD10,2,Crohns Disease
42616803,M09.15,"Juvenile arthritis in Crohn disease [regional enteritis], pelvic region and thigh",ICD10,2,Crohns Disease
42616804,M09.16,"Juvenile arthritis in Crohn disease [regional enteritis], lower leg",ICD10,2,Crohns Disease
42616805,M09.17,"Juvenile arthritis in Crohn disease [regional enteritis], ankle and foot",ICD10,2,Crohns Disease
42616806,M09.18,"Juvenile arthritis in Crohn disease [regional enteritis], other",ICD10,2,Crohns Disease
42616807,M09.19,"Juvenile arthritis in Crohn disease [regional enteritis], site unspecified",ICD10,2,Crohns Disease
42619384,M07.42,"Arthropathy in Crohn disease [regional enteritis], upper arm",ICD10,2,Crohns Disease
44800114,4.56E+14,[X]Other Crohn's disease,SNOMED,2,Crohns Disease
45533598,K50.00,Crohn's disease of small intestine without complications,ICD10CM,2,Crohns Disease
45533599,K50.8,Other Crohn disease,ICD10,2,Crohns Disease
45533600,K50.812,Crohn's disease of both small and large intestine with intestinal obstruction,ICD10CM,2,Crohns Disease
45533601,K50.814,Crohn's disease of both small and large intestine with abscess,ICD10CM,2,Crohns Disease
45538530,K50.019,Crohn's disease of small intestine with unspecified complications,ICD10CM,2,Crohns Disease
45543315,K50.012,Crohn's disease of small intestine with intestinal obstruction,ICD10CM,2,Crohns Disease
45543316,K50.913,"Crohn's disease, unspecified, with fistula",ICD10CM,2,Crohns Disease
45548159,K50.113,Crohn's disease of large intestine with fistula,ICD10CM,2,Crohns Disease
45548286,M09.1,Juvenile arthritis in Crohn disease [regional enteritis],ICD10,2,Crohns Disease
45557653,K50.014,Crohn's disease of small intestine with abscess,ICD10CM,2,Crohns Disease
45557654,K50.912,"Crohn's disease, unspecified, with intestinal obstruction",ICD10CM,2,Crohns Disease
45562489,K50.119,Crohn's disease of large intestine with unspecified complications,ICD10CM,2,Crohns Disease
45562490,K50.9,"Crohn disease, unspecified",ICD10,2,Crohns Disease
45562491,K50.914,"Crohn's disease, unspecified, with abscess",ICD10CM,2,Crohns Disease
45567306,K50.811,Crohn's disease of both small and large intestine with rectal bleeding,ICD10CM,2,Crohns Disease
45567307,K50.911,"Crohn's disease, unspecified, with rectal bleeding",ICD10CM,2,Crohns Disease
45572211,K50.919,"Crohn's disease, unspecified, with unspecified complications",ICD10CM,2,Crohns Disease
45576986,K50.10,Crohn's disease of large intestine without complications,ICD10CM,2,Crohns Disease
45576987,K50.112,Crohn's disease of large intestine with intestinal obstruction,ICD10CM,2,Crohns Disease
45576988,K50.918,"Crohn's disease, unspecified, with other complication",ICD10CM,2,Crohns Disease
45577121,M07.4,Arthropathy in Crohn disease [regional enteritis],ICD10,2,Crohns Disease
45581901,K50.118,Crohn's disease of large intestine with other complication,ICD10CM,2,Crohns Disease
45581902,K50.819,Crohn's disease of both small and large intestine with unspecified complications,ICD10CM,2,Crohns Disease
45586716,K50.018,Crohn's disease of small intestine with other complication,ICD10CM,2,Crohns Disease
45591593,K50.013,Crohn's disease of small intestine with fistula,ICD10CM,2,Crohns Disease
45596324,K50.0,Crohn disease of small intestine,ICD10,2,Crohns Disease
45596325,K50.111,Crohn's disease of large intestine with rectal bleeding,ICD10CM,2,Crohns Disease
45596326,K50.114,Crohn's disease of large intestine with abscess,ICD10CM,2,Crohns Disease
45596327,K50.80,Crohn's disease of both small and large intestine without complications,ICD10CM,2,Crohns Disease
45601172,K50.011,Crohn's disease of small intestine with rectal bleeding,ICD10CM,2,Crohns Disease
45601173,K50.1,Crohn disease of large intestine,ICD10,2,Crohns Disease
45601174,K50.813,Crohn's disease of both small and large intestine with fistula,ICD10CM,2,Crohns Disease
45601175,K50.818,Crohn's disease of both small and large intestine with other complication,ICD10CM,2,Crohns Disease
45601176,K50.90,"Crohn's disease, unspecified, without complications",ICD10CM,2,Crohns Disease
45755435,K50,Crohn disease [regional enteritis],ICD10,2,Crohns Disease
46269874,1.09E+15,Complication due to Crohn's disease of large intestine,SNOMED,2,Crohns Disease
46269875,1.09E+15,Fistula of large intestine due to Crohn's disease,SNOMED,2,Crohns Disease
46269876,1.09E+15,Intestinal obstruction due to Crohn's disease of large intestine,SNOMED,2,Crohns Disease
46269877,1.09E+15,Rectal hemorrhage due to Crohn's disease of large intestine,SNOMED,2,Crohns Disease
46269878,1.09E+15,Abscess of intestine co-occurrent and due to Crohn's disease of small and large intestine,SNOMED,2,Crohns Disease
46269879,1.09E+15,Complication due to Crohn's disease of small and large intestines,SNOMED,2,Crohns Disease
46269880,1.09E+15,Fistula of intestine due to Crohn's disease of small and large intestine,SNOMED,2,Crohns Disease
46269881,1.09E+15,Intestinal obstruction due to Crohn's disease of small and large intestine,SNOMED,2,Crohns Disease
46269882,1.09E+15,Rectal hemorrhage due to Crohn's disease of small and large intestines,SNOMED,2,Crohns Disease
46269883,1.09E+15,Abscess of intestine co-occurrent and due to Crohn's disease of small intestine,SNOMED,2,Crohns Disease
46269884,1.09E+15,Complication due to Crohn's disease of small intestine,SNOMED,2,Crohns Disease
46269885,1.09E+15,Fistula of small intestine due to Crohn's disease,SNOMED,2,Crohns Disease
46269886,1.09E+15,Intestinal obstruction due to Crohn's disease of small intestine,SNOMED,2,Crohns Disease
46269887,1.09E+15,Rectal hemorrhage due to Crohn's disease of small intestine,SNOMED,2,Crohns Disease
46269888,1.09E+15,Abscess of intestine co-occurrent and due to Crohn's disease,SNOMED,2,Crohns Disease
46269889,1.09E+15,Complication due to Crohn's disease,SNOMED,2,Crohns Disease
46269890,1.09E+15,Intestinal obstruction due to Crohn's disease,SNOMED,2,Crohns Disease
46269891,1.09E+15,Rectal hemorrhage due to Crohn's disease,SNOMED,2,Crohns Disease
46274073,1.09E+15,Abscess of intestine co-occurrent and due to Crohn's disease of large intestine,SNOMED,2,Crohns Disease
75614,200976008,Acrodermatitis continua,SNOMED,3,Psoriasis
140168,9014002,Psoriasis,SNOMED,3,Psoriasis
1569777,L40,Psoriasis,ICD10CM,3,Psoriasis
3540121,6.75E+14,Other psoriasis and similar disorders,SNOMED,3,Psoriasis
3540122,6.75E+14,Psoriasis and similar disorders NOS,SNOMED,3,Psoriasis
3555308,3.08E+14,Chronic large plaque psoriasis,SNOMED,3,Psoriasis
3555309,3.08E+14,Psoriasis vulgaris,SNOMED,3,Psoriasis
3558044,6.75E+14,Psoriasis unspecified,SNOMED,3,Psoriasis
3558139,6.93E+14,Other psoriasis,SNOMED,3,Psoriasis
3558981,8.04E+14,Pustular psoriasis,SNOMED,3,Psoriasis
3559607,8.56E+14,Palmoplantar pustular psoriasis,SNOMED,3,Psoriasis
3560183,8.91E+14,Flexural psoriasis,SNOMED,3,Psoriasis
3572243,1.23E+14,Scalp psoriasis,SNOMED,3,Psoriasis
3584444,6.93E+14,Psoriasis NOS,SNOMED,3,Psoriasis
4009501,111188005,Psoriasiform napkin eruption,SNOMED,3,Psoriasis
4031140,238605006,Psoriatic nail dystrophy,SNOMED,3,Psoriasis
4031141,238608008,Scalp psoriasis,SNOMED,3,Psoriasis
4031141,238608008,Psoriasis of scalp,SNOMED,3,Psoriasis
4031142,238612002,Generalized pustular psoriasis,SNOMED,3,Psoriasis
4031143,238616004,Infantile pustular psoriasis,SNOMED,3,Psoriasis
4031645,238600001,Flexural psoriasis,SNOMED,3,Psoriasis
4031646,238601002,Unstable psoriasis,SNOMED,3,Psoriasis
4031647,238602009,Psoriasis with eczema,SNOMED,3,Psoriasis
4031648,238603004,Eczematized psoriasis,SNOMED,3,Psoriasis
4031649,238604005,Psoriasis of nail,SNOMED,3,Psoriasis
4031650,238606007,Psoriatic nail pitting,SNOMED,3,Psoriasis
4031651,238609000,Köbner psoriasis,SNOMED,3,Psoriasis
4031652,238614001,Pustular psoriasis in children,SNOMED,3,Psoriasis
4033783,238611009,Lapiere type of psoriasis,SNOMED,3,Psoriasis
4033784,238615000,Juvenile pustular psoriasis,SNOMED,3,Psoriasis
4033785,238617008,Circinate and annular pustular psoriasis,SNOMED,3,Psoriasis
4035742,239813000,Psoriatic dactylitis,SNOMED,3,Psoriasis
4063430,200963002,Psoriasis circinata,SNOMED,3,Psoriasis
4063431,200965009,Plaque psoriasis,SNOMED,3,Psoriasis
4063432,200969003,Rupioid psoriasis,SNOMED,3,Psoriasis
4063433,200970002,Psoriasis palmaris,SNOMED,3,Psoriasis
4063434,200973000,Pustular psoriasis,SNOMED,3,Psoriasis
4064056,200996000,Other psoriasis and similar disorders,SNOMED,3,Psoriasis
4066485,200964008,Psoriasis diffusa,SNOMED,3,Psoriasis
4066486,200966005,Psoriasis geographica,SNOMED,3,Psoriasis
4066487,200967001,Psoriasis gyrata,SNOMED,3,Psoriasis
4066488,200974006,Psoriasis universalis,SNOMED,3,Psoriasis
4066828,200960004,Other psoriasis,SNOMED,3,Psoriasis
4066829,200961000,Psoriasis unspecified,SNOMED,3,Psoriasis
4066830,200962007,Psoriasis annularis,SNOMED,3,Psoriasis
4066831,200968006,Psoriasis inveterata,SNOMED,3,Psoriasis
4066832,200972005,Psoriasis punctata,SNOMED,3,Psoriasis
4067059,200984007,Parapsoriasis papulata,SNOMED,3,Psoriasis
4067061,200997009,Psoriasis and similar disorders NOS,SNOMED,3,Psoriasis
4079734,239803008,Juvenile psoriatic arthritis with psoriasis,SNOMED,3,Psoriasis
4080933,238564003,Psoriasiform eczema,SNOMED,3,Psoriasis
4093619,25847004,Seborrheic psoriasis,SNOMED,3,Psoriasis
4100184,27520001,Pustular psoriasis of palms and soles,SNOMED,3,Psoriasis
4100487,27620007,Spongiotic psoriasiform dermatitis,SNOMED,3,Psoriasis
4103079,28840001,"Generalized pustular psoriasis, exanthematous type",SNOMED,3,Psoriasis
4132495,410482007,Iritis in psoriatic arthritis,SNOMED,3,Psoriasis
4179347,52230004,Psoriasiform dermatitis,SNOMED,3,Psoriasis
4217927,81271001,Localized pustular psoriasis,SNOMED,3,Psoriasis
4219879,400069004,Nevoid psoriasis,SNOMED,3,Psoriasis
4223485,402314003,Psoriasis of vulva,SNOMED,3,Psoriasis
4240836,58143000,Localized acrodermatitis continua of Hallopeau,SNOMED,3,Psoriasis
4243163,38360005,Generalized pustular psoriasis of von Zumbush,SNOMED,3,Psoriasis
4270744,402308005,Chronic small plaque psoriasis,SNOMED,3,Psoriasis
4270745,402309002,Chronic guttate pattern psoriasis,SNOMED,3,Psoriasis
4270746,402311006,Actively extending plaque psoriasis,SNOMED,3,Psoriasis
4270747,402313009,Guttate flare of psoriasis with preexisting plaques,SNOMED,3,Psoriasis
4270748,402321003,Non-pustular psoriasis of hands,SNOMED,3,Psoriasis
4270751,402334002,Late onset psoriasis type 2,SNOMED,3,Psoriasis
4270752,402337009,Familial psoriasis without affected first degree relative,SNOMED,3,Psoriasis
4278464,36639000,Psoriasiform rash,SNOMED,3,Psoriasis
4284492,37042000,Guttate psoriasis,SNOMED,3,Psoriasis
4292222,402307000,Chronic large plaque psoriasis,SNOMED,3,Psoriasis
4292223,402317005,Generalized psoriasis,SNOMED,3,Psoriasis
4292224,402318000,Photoaggravated psoriasis,SNOMED,3,Psoriasis
4292225,402322005,Hypertrophic palmar psoriasis,SNOMED,3,Psoriasis
4292226,402323000,Hypertrophic palmoplantar psoriasis,SNOMED,3,Psoriasis
4292227,402324006,Non-pustular psoriasis of hands and feet,SNOMED,3,Psoriasis
4292229,402328009,Childhood pustular psoriasis,SNOMED,3,Psoriasis
4292230,402329001,Early onset psoriasis type 1,SNOMED,3,Psoriasis
4297496,402320002,Psoriasis of face,SNOMED,3,Psoriasis
4297497,402326008,Acute generalized pustular psoriasis de novo,SNOMED,3,Psoriasis
4297498,402331005,Onset of psoriasis in childhood (1-10 years),SNOMED,3,Psoriasis
4299280,402310007,Chronic stable plaque psoriasis,SNOMED,3,Psoriasis
4299281,402312004,Acute guttate psoriasis,SNOMED,3,Psoriasis
4299282,402315002,Psoriasis of penis,SNOMED,3,Psoriasis
4299283,402316001,Psoriasis of perianal skin,SNOMED,3,Psoriasis
4299284,402319008,Psoriasis of scalp margin,SNOMED,3,Psoriasis
4299285,402327004,Acute generalized pustular flare of preexisting plaque psoriasis,SNOMED,3,Psoriasis
4299286,402332003,Onset of psoriasis in adolescence (10-20 years),SNOMED,3,Psoriasis
4307925,200975007,Psoriasis vulgaris,SNOMED,3,Psoriasis
4307927,200977004,Erythrodermic psoriasis,SNOMED,3,Psoriasis
35208505,L40.0,Psoriasis vulgaris,ICD10CM,3,Psoriasis
35208506,L40.1,Generalized pustular psoriasis,ICD10CM,3,Psoriasis
35208508,L40.3,Pustulosis palmaris et plantaris,ICD10CM,3,Psoriasis
35208509,L40.4,Guttate psoriasis,ICD10CM,3,Psoriasis
35208510,L40.8,Other psoriasis,ICD10CM,3,Psoriasis
35208511,L40.9,"Psoriasis, unspecified",ICD10CM,3,Psoriasis
35208707,L94.5,Poikiloderma vasculare atrophicans,ICD10CM,3,Psoriasis
36715780,721538000,Psoriasis of anogenital region,SNOMED,3,Psoriasis
37204307,782910009,Seborrhea-like dermatitis with psoriasiform elements,SNOMED,3,Psoriasis
37205057,784328000,Pustular psoriasis of palm of hand,SNOMED,3,Psoriasis
40319771,156369008,Psoriasis,SNOMED,3,Psoriasis
40319772,156370009,Psoriatic arthritis,SNOMED,3,Psoriasis
40319774,156371008,(Psoriasis NOS) or (guttate psoriasis) or (parapsoriasis),SNOMED,3,Psoriasis
40352951,267851002,(Psoriasis NOS) or (guttate psoriasis) or (parapsoriasis),SNOMED,3,Psoriasis
40396288,200901002,Pustular psoriasis,SNOMED,3,Psoriasis
40396347,200955003,Psoriasis and similar disorders,SNOMED,3,Psoriasis
40397930,201373001,[X]Other psoriasis,SNOMED,3,Psoriasis
40400229,201804001,Juvenile psoriatic arthritis with psoriasis,SNOMED,3,Psoriasis
40442039,238610005,Acropustulosis,SNOMED,3,Psoriasis
40604878,56210000,Psoriasis vulgaris,SNOMED,3,Psoriasis
44783158,699207005,Arthritis of pelvis,SNOMED,3,Psoriasis
44795599,4.14E+14,[X]Other psoriasis,SNOMED,3,Psoriasis
44801884,5.09E+14,Poikiloderma vasculare atrophicans,SNOMED,3,Psoriasis
45533641,L40.9,"Psoriasis, unspecified",ICD10,3,Psoriasis
45543370,L40.0,Psoriasis vulgaris,ICD10,3,Psoriasis
45552978,L40.1,Generalized pustular psoriasis,ICD10,3,Psoriasis
45552979,L40.2,Acrodermatitis continua,ICD10,3,Psoriasis
45567355,L40.8,Other psoriasis,ICD10,3,Psoriasis
45567356,L41.5,Retiform parapsoriasis,ICD10,3,Psoriasis
45577035,L40,Psoriasis,ICD10,3,Psoriasis
45577036,L40.4,Guttate psoriasis,ICD10,3,Psoriasis
45591634,L40.3,Pustulosis palmaris et plantaris,ICD10,3,Psoriasis
45606017,L94.5,Poikiloderma vasculare atrophicans,ICD10,3,Psoriasis
45773387,702617007,Acute generalized exanthematous pustulosis,SNOMED,3,Psoriasis
257628,55464009,Systemic lupus erythematosus,SNOMED,4,Lupus
1570612,M32,Systemic lupus erythematosus (SLE),ICD10CM,4,Lupus
1570613,M32.1,Systemic lupus erythematosus with organ or system involvement,ICD10CM,4,Lupus
3534705,5.93E+14,Systemic lupus erythematosus NOS,SNOMED,4,Lupus
3543618,7.58E+14,Cerebral lupus,SNOMED,4,Lupus
4002526,11013005,"SLE glomerulonephritis syndrome, WHO class VI",SNOMED,4,Lupus
4055640,196138005,Lung disease with systemic lupus erythematosus,SNOMED,4,Lupus
4057084,19682006,Lupus hepatitis,SNOMED,4,Lupus
4065370,201439005,Systemic lupus erythematosus NOS,SNOMED,4,Lupus
4101469,25380002,Pericarditis secondary to systemic lupus erythematosus,SNOMED,4,Lupus
4145240,307755009,Renal tubulo-interstitial disorder in systemic lupus erythematosus,SNOMED,4,Lupus
4149913,309762007,Systemic lupus erythematosus with pericarditis,SNOMED,4,Lupus
4178133,52042003,"SLE glomerulonephritis syndrome, WHO class V",SNOMED,4,Lupus
4186940,4676006,"SLE glomerulonephritis syndrome, WHO class II",SNOMED,4,Lupus
4217054,417303004,Retinal vasculitis due to systemic lupus erythematosus,SNOMED,4,Lupus
4250483,73286009,"SLE glomerulonephritis syndrome, WHO class I",SNOMED,4,Lupus
4267801,36402006,"SLE glomerulonephritis syndrome, WHO class IV",SNOMED,4,Lupus
4269448,36471000,Dilated cardiomyopathy secondary to systemic lupus erythematosus,SNOMED,4,Lupus
4269448,36471000,Dilated cardiomyopathy due to systemic lupus erythematosus,SNOMED,4,Lupus
4285717,68815009,SLE glomerulonephritis syndrome,SNOMED,4,Lupus
4295179,403486000,Acute systemic lupus erythematosus,SNOMED,4,Lupus
4296502,403487009,Fulminating systemic lupus erythematosus,SNOMED,4,Lupus
4297164,76521009,"SLE glomerulonephritis syndrome, WHO class III",SNOMED,4,Lupus
4299106,77753005,Lupus disease of the lung,SNOMED,4,Lupus
4301051,403488004,Systemic lupus erythematosus of childhood,SNOMED,4,Lupus
4316215,95408003,Systemic lupus erythematosus arthritis,SNOMED,4,Lupus
4318863,95644001,Systemic lupus erythematosus encephalitis,SNOMED,4,Lupus
4319305,95332009,Rash of systemic lupus erythematosus,SNOMED,4,Lupus
4320480,69746005,Hemolytic anemia associated with systemic lupus erythematosus,SNOMED,4,Lupus
4344158,239887007,Systemic lupus erythematosus with organ/system involvement,SNOMED,4,Lupus
4344400,239890001,Systemic lupus erythematosus with multisystem involvement,SNOMED,4,Lupus
4346976,239889005,Bullous systemic lupus erythematosus,SNOMED,4,Lupus
35208826,M32.8,Other forms of systemic lupus erythematosus,ICD10CM,4,Lupus
35208827,M32.9,"Systemic lupus erythematosus, unspecified",ICD10CM,4,Lupus
36676444,773333003,Autosomal systemic lupus erythematosus,SNOMED,4,Lupus
37016279,3.09E+14,Glomerular disease due to systemic lupus erythematosus,SNOMED,4,Lupus
37016279,3.09E+14,Glomerular disease due to systemic lupus erythematosus,SNOMED,4,Lupus
37110504,724767000,Chorea co-occurrent and due to systemic lupus erythematosus,SNOMED,4,Lupus
37110517,724781003,Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus,SNOMED,4,Lupus
37117740,732960002,Secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus,SNOMED,4,Lupus
37395585,2.95E+14,Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus,SNOMED,4,Lupus
37395585,2.95E+14,Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus,SNOMED,4,Lupus
37399735,2.95E+14,Nephrosis co-occurrent and due to systemic lupus erythematosus,SNOMED,4,Lupus
37399735,2.95E+14,Nephrosis co-occurrent and due to systemic lupus erythematosus,SNOMED,4,Lupus
40320278,156450004,Systemic lupus erythematosus,SNOMED,4,Lupus
40395089,197608009,(Nephrotic syndrome in systemic lupus erythematosus) or (lupus nephritis),SNOMED,4,Lupus
40395597,197746009,Renal tubulo-interstitial disorder in systemic lupus erythematosus,SNOMED,4,Lupus
40405484,201435004,Systemic lupus erythematosus,SNOMED,4,Lupus
40405486,201437007,Systemic lupus erythematosus with organ/system involvement,SNOMED,4,Lupus
40405487,201438002,Systemic lupus erythematosus with pericarditis,SNOMED,4,Lupus
44784527,698694005,Systemic lupus erythematosus in remission,SNOMED,4,Lupus
44795579,4.09E+14,[X]Other forms of systemic lupus erythematosus,SNOMED,4,Lupus
45533825,M32,Systemic lupus erythematosus,ICD10,4,Lupus
45553167,M32.9,"Systemic lupus erythematosus, unspecified",ICD10,4,Lupus
45562708,M32.1,Systemic lupus erythematosus with organ or system involvement,ICD10,4,Lupus
45562709,M32.14,Glomerular disease in systemic lupus erythematosus,ICD10CM,4,Lupus
45567545,M32.13,Lung involvement in systemic lupus erythematosus,ICD10CM,4,Lupus
45572445,M32.8,Other forms of systemic lupus erythematosus,ICD10,4,Lupus
45582126,M32.10,"Systemic lupus erythematosus, organ or system involvement unspecified",ICD10CM,4,Lupus
45591820,M32.15,Tubulo-interstitial nephropathy in systemic lupus erythematosus,ICD10CM,4,Lupus
45601433,M32.11,Endocarditis in systemic lupus erythematosus,ICD10CM,4,Lupus
