concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,category
782919,montelukast 10 MG Oral Tablet [MONTELUKAST TEVA] Box of 98 by Impexeco,Drug,RxNorm Extension,Marketed Product,S,OMOP4830749,2019-04-01,2099-12-31,NA,LTRA
783209,Budesonide Inhalation Powder [Rhinocort],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831040,2019-04-01,2099-12-31,NA,ICS
783210,Budesonide Inhalation Powder [Novolizer Budesonide],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831041,2019-04-01,2099-12-31,NA,ICS
783211,Budesonide Inhalation Powder [Budesonid Orion Easyhaler],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831042,2019-04-01,2099-12-31,NA,ICS
783212,Budesonide Inhalation Powder [Miflonide],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831043,2019-04-01,2099-12-31,NA,ICS
783221,Budesonide 0.2 MG Inhalation Powder Box of 120,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP4831052,2019-04-01,2099-12-31,NA,ICS
783222,Budesonide 0.2 MG Inhalation Powder [Miflonide],Drug,RxNorm Extension,Branded Drug,S,OMOP4831053,2019-04-01,2099-12-31,NA,ICS
783223,Budesonide 0.2 MG Inhalation Powder [Miflonide] Box of 120,Drug,RxNorm Extension,Branded Drug Box,S,OMOP4831054,2019-04-01,2099-12-31,NA,ICS
783224,Budesonide 0.2 MG Inhalation Powder [Miflonide] Box of 120 by Novartis,Drug,RxNorm Extension,Marketed Product,S,OMOP4831055,2019-04-01,2099-12-31,NA,ICS
783785,Albuterol / Ipratropium Inhalation Solution [Nebu-Iprasal],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831614,2019-04-01,2099-12-31,NA,SABA
783953,formoterol Inhalation Powder [Formagal],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831781,2019-04-01,2099-12-31,NA,LABA
783954,formoterol Inhalation Powder [Formoterol Novolizer],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831782,2019-04-01,2099-12-31,NA,LABA
783955,formoterol Inhalation Solution [FORMOAIR],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831783,2019-04-01,2099-12-31,NA,LABA
783956,formoterol 0.012 MG/ACTUAT Inhalation Solution,Drug,RxNorm Extension,Clinical Drug,S,OMOP4831784,2019-04-01,2099-12-31,NA,LABA
783970,Albuterol Inhalation Powder [Salbutamol Novolizer],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4831798,2019-04-01,2099-12-31,NA,SABA
783971,Albuterol 0.1 MG/ACTUAT Inhalation Solution,Drug,RxNorm Extension,Clinical Drug,S,OMOP4831799,2019-04-01,2099-12-31,NA,SABA
783972,Albuterol 0.1 MG/ACTUAT Inhalation Solution Box of 1,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP4831800,2019-04-01,2099-12-31,NA,SABA
783973,Albuterol 0.1 MG/ACTUAT Inhalation Solution [Airomir],Drug,RxNorm Extension,Branded Drug,S,OMOP4831801,2019-04-01,2099-12-31,NA,SABA
783974,Albuterol 0.1 MG/ACTUAT Inhalation Solution [Airomir] Box of 1,Drug,RxNorm Extension,Branded Drug Box,S,OMOP4831802,2019-04-01,2099-12-31,NA,SABA
783975,Albuterol 0.1 MG/ACTUAT Inhalation Solution [Ventolin] Box of 1,Drug,RxNorm Extension,Branded Drug Box,S,OMOP4831803,2019-04-01,2099-12-31,NA,SABA
783976,Albuterol 1 MG/ML Injectable Solution Box of 1,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP4831804,2019-04-01,2099-12-31,NA,SABA
783977,Albuterol 1 MG/ML Injectable Solution [Ventolin] Box of 1,Drug,RxNorm Extension,Branded Drug Box,S,OMOP4831805,2019-04-01,2099-12-31,NA,SABA
784214,2 ML Budesonide 0.5 MG/ML Inhalation Solution [Pulmicort] Box of 20 by PI-Pharma,Drug,RxNorm Extension,Marketed Product,S,OMOP4832038,2019-04-01,2099-12-31,NA,ICS
784215,2 ML Budesonide 0.25 MG/ML Inhalation Solution [Pulmicort] Box of 20 by PI-Pharma,Drug,RxNorm Extension,Marketed Product,S,OMOP4832039,2019-04-01,2099-12-31,NA,ICS
784492,5 ML Albuterol 1 MG/ML Injectable Solution Box of 1,Drug,RxNorm Extension,Quant Clinical Box,S,OMOP4832311,2019-04-01,2099-12-31,NA,SABA
784493,5 ML Albuterol 1 MG/ML Injectable Solution [Ventolin] Box of 1,Drug,RxNorm Extension,Quant Branded Box,S,OMOP4832312,2019-04-01,2099-12-31,NA,SABA
784494,5 ML Albuterol 1 MG/ML Injectable Solution [Ventolin] Box of 1 by GSK,Drug,RxNorm Extension,Marketed Product,S,OMOP4832313,2019-04-01,2099-12-31,NA,SABA
784941,100 ACTUAT Budesonide 0.2 MG/ACTUAT Inhalation Powder [Pulmicort] Box of 1 by Astrazeneca,Drug,RxNorm Extension,Marketed Product,S,OMOP4832760,2019-04-01,2099-12-31,NA,ICS
784942,100 ACTUAT formoterol 0.012 MG/ACTUAT Inhalation Solution,Drug,RxNorm Extension,Quant Clinical Drug,S,OMOP4832761,2019-04-01,2099-12-31,NA,LABA
785033,200 ACTUAT Budesonide 0.2 MG/ACTUAT Inhalation Powder [Novolizer Budesonide] Box of 1 by Meda,Drug,RxNorm Extension,Marketed Product,S,OMOP4832850,2019-04-01,2099-12-31,NA,ICS
785034,200 ACTUAT Budesonide 0.2 MG/ACTUAT Inhalation Powder [Novolizer Budesonide] Box of 2 by Meda,Drug,RxNorm Extension,Marketed Product,S,OMOP4832851,2019-04-01,2099-12-31,NA,ICS
785035,200 ACTUAT Budesonide 0.2 MG/ACTUAT Inhalation Powder [Budesonid Orion Easyhaler] Box of 1 by Orion,Drug,RxNorm Extension,Marketed Product,S,OMOP4832852,2019-04-01,2099-12-31,NA,ICS
785043,200 ACTUAT Albuterol 0.1 MG/ACTUAT Inhalation Powder [Salbutamol Novolizer] Box of 1 by Meda,Drug,RxNorm Extension,Marketed Product,S,OMOP4832859,2019-04-01,2099-12-31,NA,SABA
785044,200 ACTUAT Albuterol 0.1 MG/ACTUAT Inhalation Solution,Drug,RxNorm Extension,Quant Clinical Drug,S,OMOP4832860,2019-04-01,2099-12-31,NA,SABA
785045,200 ACTUAT Albuterol 0.1 MG/ACTUAT Inhalation Solution Box of 1,Drug,RxNorm Extension,Quant Clinical Box,S,OMOP4832861,2019-04-01,2099-12-31,NA,SABA
785046,200 ACTUAT Albuterol 0.1 MG/ACTUAT Inhalation Solution [Airomir],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4832862,2019-04-01,2099-12-31,NA,SABA
785047,200 ACTUAT Albuterol 0.1 MG/ACTUAT Inhalation Solution [Airomir] Box of 1,Drug,RxNorm Extension,Quant Branded Box,S,OMOP4832863,2019-04-01,2099-12-31,NA,SABA
785048,200 ACTUAT Albuterol 0.1 MG/ACTUAT Inhalation Solution [Airomir] Box of 1 by UCB,Drug,RxNorm Extension,Marketed Product,S,OMOP4832864,2019-04-01,2099-12-31,NA,SABA
785049,200 ACTUAT Albuterol 0.1 MG/ACTUAT Inhalation Solution [Ventolin] Box of 1,Drug,RxNorm Extension,Quant Branded Box,S,OMOP4832865,2019-04-01,2099-12-31,NA,SABA
785050,200 ACTUAT Albuterol 0.1 MG/ACTUAT Inhalation Solution [Ventolin] Box of 1 by GSK,Drug,RxNorm Extension,Marketed Product,S,OMOP4832866,2019-04-01,2099-12-31,NA,SABA
789792,Sensor 200 ACTUAT albuterol 0.09 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Clinical Drug,S,2166796,2019-06-03,2099-12-31,NA,SABA
789793,Sensor 200 ACTUAT albuterol 0.09 MG/ACTUAT Dry Powder Inhaler [ProAir],Drug,RxNorm,Branded Drug,S,2166797,2019-06-03,2099-12-31,NA,SABA
792587,fluticasone propionate 0.093 MG/ACTUAT Metered Dose Nasal Spray,Drug,RxNorm,Clinical Drug,S,1946583,2018-02-05,2099-12-31,NA,ICS
792590,fluticasone Metered Dose Nasal Spray [Xhance],Drug,RxNorm,Branded Drug Form,S,1946586,2018-02-05,2099-12-31,NA,ICS
792591,Xhance Inhalant Product,Drug,RxNorm,Branded Dose Group,C,1946587,2018-02-05,2099-12-31,NA,ICS
792593,fluticasone propionate 0.093 MG/ACTUAT Metered Dose Nasal Spray [Xhance],Drug,RxNorm,Branded Drug,S,1946589,2018-02-05,2099-12-31,NA,ICS
792993,benralizumab,Drug,RxNorm,Ingredient,S,1989100,2018-02-05,2099-12-31,NA,injection
792994,benralizumab 30 MG/ML,Drug,RxNorm,Clinical Drug Comp,S,1989101,2018-02-05,2099-12-31,NA,injection
792995,benralizumab Injectable Product,Drug,RxNorm,Clinical Dose Group,C,1989102,2018-02-05,2099-12-31,NA,injection
792996,benralizumab Prefilled Syringe,Drug,RxNorm,Clinical Drug Form,S,1989103,2018-02-05,2099-12-31,NA,injection
792997,1 ML benralizumab 30 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,1989104,2018-02-05,2099-12-31,NA,injection
792999,benralizumab 30 MG/ML [Fasenra],Drug,RxNorm,Branded Drug Comp,S,1989106,2018-02-05,2099-12-31,NA,injection
793000,benralizumab Prefilled Syringe [Fasenra],Drug,RxNorm,Branded Drug Form,S,1989107,2018-02-05,2099-12-31,NA,injection
793001,Fasenra Injectable Product,Drug,RxNorm,Branded Dose Group,C,1989108,2018-02-05,2099-12-31,NA,injection
793002,1 ML benralizumab 30 MG/ML Prefilled Syringe [Fasenra],Drug,RxNorm,Quant Branded Drug,S,1989109,2018-02-05,2099-12-31,NA,injection
793003,benralizumab 30 MG/ML Prefilled Syringe,Drug,RxNorm,Clinical Drug,S,1989110,2018-02-05,2099-12-31,NA,injection
793004,benralizumab 30 MG/ML Prefilled Syringe [Fasenra],Drug,RxNorm,Branded Drug,S,1989111,2018-02-05,2099-12-31,NA,injection
793578,fluticasone Metered Dose Nasal Spray [Fluticare],Drug,RxNorm,Branded Drug Form,S,1996209,2018-02-05,2099-12-31,NA,ICS
793579,Fluticare Inhalant Product,Drug,RxNorm,Branded Dose Group,C,1996210,2018-02-05,2099-12-31,NA,ICS
793581,fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray [Fluticare],Drug,RxNorm,Branded Drug,S,1996212,2018-02-05,2099-12-31,NA,ICS
793912,60 ACTUAT fluticasone propionate 0.113 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1941531,2018-02-05,2099-12-31,NA,ICS
793915,fluticasone Dry Powder Inhaler [Armonair],Drug,RxNorm,Branded Drug Form,S,1941534,2018-02-05,2099-12-31,NA,ICS
793916,Armonair Inhalant Product,Drug,RxNorm,Branded Dose Group,C,1941535,2018-02-05,2099-12-31,NA,ICS
793917,60 ACTUAT fluticasone propionate 0.113 MG/ACTUAT Dry Powder Inhaler [Armonair],Drug,RxNorm,Quant Branded Drug,S,1941536,2018-02-05,2099-12-31,NA,ICS
793918,fluticasone propionate 0.113 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Clinical Drug,S,1941537,2018-02-05,2099-12-31,NA,ICS
793919,fluticasone propionate 0.113 MG/ACTUAT Dry Powder Inhaler [Armonair],Drug,RxNorm,Branded Drug,S,1941538,2018-02-05,2099-12-31,NA,ICS
793931,60 ACTUAT fluticasone propionate 0.232 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1941605,2018-02-05,2099-12-31,NA,ICS
793933,60 ACTUAT fluticasone propionate 0.232 MG/ACTUAT Dry Powder Inhaler [Armonair],Drug,RxNorm,Quant Branded Drug,S,1941607,2018-02-05,2099-12-31,NA,ICS
793934,fluticasone propionate 0.232 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Clinical Drug,S,1941608,2018-02-05,2099-12-31,NA,ICS
793935,fluticasone propionate 0.232 MG/ACTUAT Dry Powder Inhaler [Armonair],Drug,RxNorm,Branded Drug,S,1941609,2018-02-05,2099-12-31,NA,ICS
793936,60 ACTUAT fluticasone propionate 0.055 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Quant Clinical Drug,S,1941611,2018-02-05,2099-12-31,NA,ICS
793938,60 ACTUAT fluticasone propionate 0.055 MG/ACTUAT Dry Powder Inhaler [Armonair],Drug,RxNorm,Quant Branded Drug,S,1941613,2018-02-05,2099-12-31,NA,ICS
793939,fluticasone propionate 0.055 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Clinical Drug,S,1941614,2018-02-05,2099-12-31,NA,ICS
793940,fluticasone propionate 0.055 MG/ACTUAT Dry Powder Inhaler [Armonair],Drug,RxNorm,Branded Drug,S,1941615,2018-02-05,2099-12-31,NA,ICS
902971,120 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,825318,2008-11-30,2099-12-31,NA,ICS
904131,triamcinolone 0.055 MG/ACTUAT Nasal Spray,Drug,RxNorm,Clinical Drug,S,245785,1970-01-01,2099-12-31,NA,ICS
904163,triamcinolone 0.1 MG/ACTUAT Nasal Spray,Drug,RxNorm,Clinical Drug,S,248626,1970-01-01,2099-12-31,NA,ICS
905271,14 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],Drug,RxNorm,Quant Branded Drug,S,746811,2007-12-30,2099-12-31,NA,ICS
905292,30 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Quant Clinical Drug,S,746812,2007-12-30,2099-12-31,NA,ICS
905293,30 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],Drug,RxNorm,Quant Branded Drug,S,746813,2007-12-30,2099-12-31,NA,ICS
905294,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm,Quant Clinical Drug,S,746814,2007-12-30,2099-12-31,NA,ICS
905295,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex],Drug,RxNorm,Quant Branded Drug,S,746815,2007-12-30,2099-12-31,NA,ICS
939300,budesonide 0.032 MG/ACTUAT Nasal Spray,Drug,RxNorm,Clinical Drug,S,247551,1970-01-01,2099-12-31,NA,ICS
939301,budesonide 0.1 MG/ACTUAT Nasal Spray,Drug,RxNorm,Clinical Drug,S,247691,1970-01-01,2099-12-31,NA,ICS
939359,budesonide 0.5 MG/ML Inhalation Suspension,Drug,RxNorm,Clinical Drug,S,252559,1970-01-01,2099-12-31,NA,ICS
939542,budesonide 0.25 MG/ML Inhalation Suspension [Pulmicort],Drug,RxNorm,Branded Drug,S,616817,2006-04-02,2099-12-31,NA,ICS
939543,budesonide 0.5 MG/ML Inhalation Suspension [Pulmicort],Drug,RxNorm,Branded Drug,S,616819,2006-04-02,2099-12-31,NA,ICS
963842,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Clinical Drug,S,1998771,2018-04-02,2099-12-31,NA,ICS
963843,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar],Drug,RxNorm,Branded Drug,S,1998772,2018-04-02,2099-12-31,NA,ICS
963844,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Clinical Drug,S,1998773,2018-04-02,2099-12-31,NA,ICS
963845,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],Drug,RxNorm,Branded Drug,S,1998774,2018-04-02,2099-12-31,NA,ICS
986180,albuterol 0.15 MG/ML / ketotifen 0.08 MG/ML / theophylline 15 MG/ML Oral Solution,Drug,RxNorm,Clinical Drug,S,755495,2008-03-02,2099-12-31,NA,SABA
994539,fluticasone / salmeterol Dry Powder Inhaler [Salflutin],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4821053,2019-03-27,2099-12-31,NA,combo
994540,fluticasone / vilanterol Dry Powder Inhaler [Revinty],Drug,RxNorm Extension,Branded Drug Form,S,OMOP4821054,2019-03-27,2099-12-31,NA,combo
994750,mepolizumab 100 MG Injectable Solution [Nucala] by Kohlpharma,Drug,RxNorm Extension,Marketed Product,S,OMOP4821264,2019-03-27,2099-12-31,NA,injection
994751,mepolizumab 100 MG Injectable Solution [Nucala] by Paranova Pack,Drug,RxNorm Extension,Marketed Product,S,OMOP4821265,2019-03-27,2099-12-31,NA,injection
994819,salmeterol 0.05 MG Dry Powder Inhaler [Serevent] by Beragena,Drug,RxNorm Extension,Marketed Product,S,OMOP4821331,2019-03-27,2099-12-31,NA,LABA
1110942,omalizumab,Drug,RxNorm,Ingredient,S,302379,1970-01-01,2099-12-31,NA,injection
1111242,arformoterol 0.0075 MG/ML Inhalation Solution,Drug,RxNorm,Clinical Drug,S,668956,2006-12-17,2099-12-31,NA,LABA
1111243,arformoterol 0.0075 MG/ML Inhalation Solution [Brovana],Drug,RxNorm,Branded Drug,S,695935,2007-04-29,2099-12-31,NA,LABA
1111707,zafirlukast 20 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,199655,1970-01-01,2099-12-31,NA,LTRA
1111708,zafirlukast 20 MG Oral Tablet [Accolate],Drug,RxNorm,Branded Drug,S,211776,1970-01-01,2099-12-31,NA,LTRA
1111709,zafirlukast 10 MG Oral Tablet [Accolate],Drug,RxNorm,Branded Drug,S,261313,1970-01-01,2099-12-31,NA,LTRA
1111710,zafirlukast 10 MG Oral Tablet,Drug,RxNorm,Clinical Drug,S,313758,1970-01-01,2099-12-31,NA,LTRA
1113078,200 ACTUAT albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT Inhalation Spray [Combivent],Drug,RxNorm,Quant Branded Drug,S,836366,2009-04-05,2099-12-31,NA,SABA
1114621,nedocromil 10 MG/ML Nasal Spray,Drug,RxNorm,Clinical Drug,S,151122,1970-01-01,2099-12-31,NA,Cromolyn
1115678,beclomethasone 0.05 MG/ACTUAT Nasal Spray,Drug,RxNorm,Clinical Drug,S,562655,2005-09-11,2099-12-31,NA,ICS
1137534,salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Clinical Drug,S,312897,1970-01-01,2099-12-31,NA,LABA
1146318,ciclesonide 0.343 MG/ACTUAT Metered Dose Nasal Spray,Drug,RxNorm,Clinical Drug,S,2377377,2020-08-03,2099-12-31,NA,ICS
1146321,ciclesonide Metered Dose Nasal Spray [Aservo],Drug,RxNorm,Branded Drug Form,S,2377380,2020-08-03,2099-12-31,NA,ICS
1146322,Aservo Inhalant Product,Drug,RxNorm,Branded Dose Group,C,2377381,2020-08-03,2099-12-31,NA,ICS
1146324,ciclesonide 0.343 MG/ACTUAT Metered Dose Nasal Spray [Aservo],Drug,RxNorm,Branded Drug,S,2377383,2020-08-03,2099-12-31,NA,ICS
1147880,zileuton 600 MG Oral Tablet [Zyflo],Drug,RxNorm,Branded Drug,S,211777,1970-01-01,2099-12-31,NA,zileuton
1147881,zileuton 200 MG Oral Capsule,Drug,RxNorm,Clinical Drug,S,248317,1970-01-01,2099-12-31,NA,zileuton
1147904,zileuton 600 MG Extended Release Oral Tablet,Drug,RxNorm,Clinical Drug,S,723848,2007-07-29,2099-12-31,NA,zileuton
1147905,zileuton 600 MG Extended Release Oral Tablet [Zyflo],Drug,RxNorm,Branded Drug,S,727139,2007-09-02,2099-12-31,NA,zileuton
1152733,200 ACTUAT cromolyn sodium 0.8 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm,Quant Clinical Drug,S,746342,2007-12-30,2099-12-31,NA,Cromolyn
